Date	SANDP	FORD	GM	MICROSOFT	SUN	USTB3M
Jan-02	1130.2	0.95	39.55	27.33	17.27	1.73
Feb-02	1106.73	0.95	41.4	25.02	17.36	1.75
Mar-02	1147.39	0.9	47.23	25.87	18.04	1.77
Apr-02	1076.92	0.8	50.12	22.41	15.5	1.78
May-02	1067.14	0.76	48.92	21.84	16.14	1.77
Jun-02	989.82	0.76	42.07	23.46	16.18	1.75
Jul-02	911.62	0.81	36.64	20.58	16.14	1.72
Aug-02	916.07	0.85	38.11	21.05	16.23	1.69
Sep-02	815.28	0.81	30.97	18.76	13.79	1.64
Oct-02	885.76	0.85	26.48	22.93	13.71	1.58
Nov-02	936.31	0.94	32.08	24.74	13.65	1.5
Dec-02	879.82	1.1	29.78	22.17	15.3	1.22
Jan-03	855.7	2.03	29.35	20.36	14.44	1.22
Feb-03	841.15	1.98	27.67	20.4	16.45	1.17
Mar-03	848.18	1.84	27.55	20.83	16.99	1.17
Apr-03	916.92	1.94	29.54	22	17.29	1.12
May-03	963.59	1.76	29.35	21.18	17.23	1.13
Jun-03	974.5	1.62	29.91	22.06	17.65	1.07
Jul-03	990.31	1.78	31.1	22.73	17.31	0.88
Aug-03	1008.01	2.67	34.6	22.82	19.14	0.97
Sep-03	995.97	2.38	34.46	23.92	18.94	0.97
Oct-03	1050.71	2.48	35.93	22.62	20.61	0.95
Nov-03	1058.2	2.3	36.44	22.25	22.75	0.96
Dec-03	1111.92	2.4	45.49	23.69	24.24	0.94
Jan-04	1131.13	2.41	42.32	23.93	26.28	0.93
Feb-04	1144.94	2.4	41.41	22.96	29.29	0.94
Mar-04	1126.21	2.21	40.66	21.57	29.71	0.96
Apr-04	1107.3	2.68	40.81	22.61	29.96	0.95
May-04	1120.68	2.59	39.51	22.7	29.43	1.01
Jun-04	1140.84	2.63	40.55	24.72	30.43	1.18
Jul-04	1101.72	2.29	37.55	24.65	32.61	1.32
Aug-04	1104.24	2.16	36.39	23.69	29.56	1.48
Sep-04	1114.58	2.28	37.42	24	35.56	1.61
Oct-04	1130.2	2.38	33.95	24.28	35.74	1.72
Nov-04	1173.82	2.83	34.43	25.93	39.84	1.99
Dec-04	1211.92	4.18	35.75	25.85	39.43	2.22
Jan-05	1181.27	7.5	32.85	25.42	42.22	2.32
Feb-05	1203.6	7.88	32.24	24.41	47.98	2.5
Mar-05	1180.59	12.99	26.58	23.45	50.12	2.75
Apr-05	1156.85	15.08	24.13	24.55	48.06	2.82
May-05	1191.5	20.92	28.98	25.11	49.86	2.88
Jun-05	1191.33	15.99	31.25	24.18	55.26	2.99
Jul-05	1234.18	26.75	33.84	24.93	61.12	3.14
Aug-05	1220.33	25.87	31.88	26.73	70.9	3.48
Sep-05	1228.81	23.47	28.54	25.12	76.27	3.51
Oct-05	1207.01	20.54	25.55	25.09	72.66	3.61
Nov-05	1249.48	17.87	20.8	27.1	75.5	3.96
Dec-05	1248.29	8.9	18.44	25.61	76.65	3.97
Jan-06	1280.08	10.8	22.85	27.56	93.1	4.19
Feb-06	1280.66	9	19.51	26.4	72.47	4.48
Mar-06	1294.87	10.7	20.43	26.73	75.86	4.62
Apr-06	1310.61	6.39	21.98	23.73	79.25	4.68
May-06	1270.09	5.04	26.12	22.34	67.29	4.82
Jun-06	1270.2	4.15	28.9	22.98	67.98	4.84
Jul-06	1276.66	4.64	31.27	23.73	68.22	5.03
Aug-06	1303.82	5.31	28.54	25.44	70.78	5.1
Sep-06	1335.85	5.12	32.53	27.07	61.22	5.06
Oct-06	1377.94	5.37	34.15	28.42	65.1	4.92
Nov-06	1400.63	4.55	28.79	29.16	67.34	5.08
Dec-06	1418.3	4.19	30.26	29.66	61.61	5.04
Jan-07	1438.24	4.26	32.34	30.65	62.37	5.05
Feb-07	1406.82	4.26	31.63	28.08	63.93	5.13
Mar-07	1420.86	4.16	30.38	27.78	69.88	5.15
Apr-07	1482.37	4.08	30.97	29.84	74.93	5.05
