FILE 2:
COMPOSITE ISOTOPE DATA FOR RC12294 COLUMN 1=DEPTH(CM)  COLUMN 2=O-18(0/00)
RC12-294COMP        0.      3.26
RC12-294COMP        9.      3.44
RC12-294COMP       20.      3.26
RC12-294COMP       30.      4.23
RC12-294COMP       40.      3.74
RC12-294COMP       45.      4.72
RC12-294COMP       50.      4.80
RC12-294COMP       65.      4.57
RC12-294COMP       75.      4.36
RC12-294COMP       85.      4.61
RC12-294COMP       95.      4.20
RC12-294COMP      105.      4.38
RC12-294COMP      115.      4.21
RC12-294COMP      125.      4.38
RC12-294COMP      135.      4.55
RC12-294COMP      145.      4.47
RC12-294COMP      155.      4.42
RC12-294COMP      165.      3.96
RC12-294COMP      175.      3.77
RC12-294COMP      185.      3.99
RC12-294COMP      195.      3.89
RC12-294COMP      205.      3.76
RC12-294COMP      215.      3.92
RC12-294COMP      225.      3.94
RC12-294COMP      230.      4.16
RC12-294COMP      236.      3.90
RC12-294COMP      240.      3.82
RC12-294COMP      242.      3.91
RC12-294COMP      244.      4.09
RC12-294COMP      246.      3.95
RC12-294COMP      248.      3.83
RC12-294COMP      250.      3.46
RC12-294COMP      254.      3.69
RC12-294COMP      258.      3.55
RC12-294COMP      260.      3.28
RC12-294COMP      262.      3.26
RC12-294COMP      264.      3.25
RC12-294COMP      266.      3.38
RC12-294COMP      268.      3.38
RC12-294COMP      272.      3.33
RC12-294COMP      274.      3.41
RC12-294COMP      276.      3.18
RC12-294COMP      278.      3.10
RC12-294COMP      282.      3.52
RC12-294COMP      286.      4.05
RC12-294COMP      290.      3.83
RC12-294COMP      294.      4.02
RC12-294COMP      302.      4.77
RC12-294COMP      304.      4.69
RC12-294COMP      306.      5.00
RC12-294COMP      308.      5.02
RC12-294COMP      315.      4.75
RC12-294COMP      325.      4.79
RC12-294COMP      335.      4.86
RC12-294COMP      355.      4.67
RC12-294COMP      365.      4.58
RC12-294COMP      375.      4.83
RC12-294COMP      385.      4.65
RC12-294COMP      395.      4.68
RC12-294COMP      410.      4.56
RC12-294COMP      420.      4.35
RC12-294COMP      425.      4.35
RC12-294COMP      430.      4.43
RC12-294COMP      435.      4.47
RC12-294COMP      440.      4.60
RC12-294COMP      445.      4.57
RC12-294COMP      450.      4.44
RC12-294COMP      455.      4.55
RC12-294COMP      460.      4.66
RC12-294COMP      465.      4.53
RC12-294COMP      470.      4.63
RC12-294COMP      475.      4.43
RC12-294COMP      480.      4.18
RC12-294COMP      485.      3.77
RC12-294COMP      490.      3.74
RC12-294COMP      495.      3.70
RC12-294COMP      500.      3.67
RC12-294COMP      505.      3.79
RC12-294COMP      510.      3.76
RC12-294COMP      515.      3.45
RC12-294COMP      520.      3.57
RC12-294COMP      525.      3.52
RC12-294COMP      530.      4.08
RC12-294COMP      535.      4.31
RC12-294COMP      540.      4.34
RC12-294COMP      545.      4.36
RC12-294COMP      550.      4.12
RC12-294COMP      555.      3.79
RC12-294COMP      560.      3.35
RC12-294COMP      565.      3.78
RC12-294COMP      570.      4.19
RC12-294COMP      575.      4.78
RC12-294COMP      580.      4.28
RC12-294COMP      585.      4.68
RC12-294COMP      590.      4.58
RC12-294COMP      595.      4.73
RC12-294COMP      600.      4.69
RC12-294COMP      605.      4.69
RC12-294COMP      610.      4.54
RC12-294COMP      615.      4.67
RC12-294COMP      620.      4.49
RC12-294COMP      625.      4.35
RC12-294COMP      630.      4.33
RC12-294COMP      635.      4.69
RC12-294COMP      640.      4.30
RC12-294COMP      645.      4.02
RC12-294COMP      650.      3.97
RC12-294COMP      655.      4.06
RC12-294COMP      660.      3.68
RC12-294COMP      665.      4.16
RC12-294COMP      670.      4.39
RC12-294COMP      675.      4.40
RC12-294COMP      680.      4.34
RC12-294COMP      685.      4.38
RC12-294COMP      695.      4.32
RC12-294COMP      700.      4.04
RC12-294COMP      705.      4.25
RC12-294COMP      710.      4.22
RC12-294COMP      715.      3.97
RC12-294COMP      720.      3.73
RC12-294COMP      725.      4.07
RC12-294COMP      730.      3.72
RC12-294COMP      735.      3.48
RC12-294COMP      740.      3.80
RC12-294COMP      745.      3.43
RC12-294COMP      750.      3.30
RC12-294COMP      755.      3.26
RC12-294COMP      760.      4.55
RC12-294COMP      765.      4.68
RC12-294COMP      770.      4.99
RC12-294COMP      775.      4.95
RC12-294COMP      780.      4.93
RC12-294COMP      785.      4.99
RC12-294COMP      790.      4.88
RC12-294COMP      795.      4.81
RC12-294COMP      800.      4.55
RC12-294COMP      805.      4.64
RC12-294COMP      810.      4.66
RC12-294COMP      815.      4.70
RC12-294COMP      820.      4.60
RC12-294COMP      825.      4.58
RC12-294COMP      830.      4.76
RC12-294COMP      835.      4.68
RC12-294COMP      840.      4.74
RC12-294COMP      845.      4.74
RC12-294COMP      850.      4.75
RC12-294COMP      855.      4.79
RC12-294COMP      860.      4.73
RC12-294COMP      865.      4.64
RC12-294COMP      870.      4.83
RC12-294COMP      875.      4.70
RC12-294COMP      880.      4.48
RC12-294COMP      885.      4.60
RC12-294COMP      895.      4.55
RC12-294COMP      900.      4.61
RC12-294COMP      905.      4.42
RC12-294COMP      910.      4.53
RC12-294COMP      915.      4.38
RC12-294COMP      920.      4.46
RC12-294COMP      925.      4.24
